"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Love Sosa","2012-01-01","N/A","Hip Hop","N/A","N/A","Chief Keef","N/A","N/A","N/A","N/A","2643","N/A","N/A","N/A","N/A","131769658.64500001","N/A","N/A","N/A","123014465","1004272982","N/A","N/A","N/A","64083187","558612387","N/A","N/A","N/A","2515","N/A","N/A","N/A","N/A","1790127","10156524","N/A","N/A","N/A","N/A","N/A"
"fukumean","2023-06-15","N/A","Hip Hop","N/A","N/A","Gunna","N/A","N/A","N/A","N/A","2657","N/A","N/A","N/A","N/A","131426410.12","N/A","N/A","N/A","125160089","1192685480","N/A","N/A","N/A","51359706","288726095","N/A","N/A","N/A","29938","N/A","N/A","N/A","N/A","4183539","42848471","N/A","N/A","N/A","0","4482925"
"Knife Talk (with 21 Savage ft. Project Pat)","2021-09-03","N/A","Hip Hop","N/A","N/A","Drake, 21 Savage, Project Pat","N/A","N/A","N/A","N/A","2683","N/A","N/A","N/A","N/A","130450712.20499998","N/A","N/A","N/A","163535781","884938265","N/A","N/A","N/A","21590732","302954527","N/A","N/A","N/A","2761","N/A","N/A","N/A","N/A","1829637","48677566","N/A","N/A","N/A","6135","2248123"
"Drip Too Hard (Lil Baby & Gunna)","2018-10-05","N/A","Hip Hop","N/A","N/A","Lil Baby, Gunna","N/A","N/A","N/A","N/A","2689","N/A","N/A","N/A","N/A","130305076.535","N/A","N/A","N/A","136889546","1791225811","N/A","N/A","N/A","18763652","496173546","N/A","N/A","N/A","19490","N/A","N/A","N/A","N/A","3889959","230075681","N/A","N/A","N/A","10208","5340835"
"on one tonight","2024-05-09","N/A","Hip Hop","N/A","N/A","Gunna","N/A","N/A","N/A","N/A","2691","N/A","N/A","N/A","N/A","130152549.815","N/A","N/A","N/A","153997415","414385952","N/A","N/A","N/A","15154842","31188432","N/A","N/A","N/A","1178","N/A","N/A","N/A","N/A","8539","8874","N/A","N/A","N/A","0","652469"
"Loveeeeeee Song - Album Version (Edited)","2012-01-01","N/A","Pop","N/A","N/A","Rihanna, Future","N/A","N/A","N/A","N/A","2719","N/A","N/A","N/A","N/A","128907295.92000002","N/A","N/A","N/A","162875224","712759534","N/A","N/A","N/A","1414116","3189656","N/A","N/A","N/A","5944","N/A","N/A","N/A","N/A","2075759","34478177","N/A","N/A","N/A","N/A","N/A"
"Untouchable","2017-08-04","N/A","Hip Hop","N/A","N/A","YoungBoy Never Broke Again","N/A","N/A","N/A","N/A","2743","N/A","N/A","N/A","N/A","128093839.505","N/A","N/A","N/A","98220619","305082680","N/A","N/A","N/A","67371867","479644802","N/A","N/A","N/A","342","N/A","N/A","N/A","N/A","9320233","94418141","N/A","N/A","N/A","0","924768"
"Базовый минимум","2025-08-01","N/A","Hip Hop","N/A","N/A","SABI, MIA BOYKA, Sabi","N/A","N/A","N/A","N/A","2756","N/A","N/A","N/A","N/A","127710167.5","N/A","N/A","N/A","16561328","20452261","N/A","N/A","N/A","106760711","106810176","N/A","N/A","N/A","1023","N/A","N/A","N/A","N/A","23762","34050","N/A","N/A","N/A","N/A","N/A"
"Roses - Imanbek Remix","2019-05-04","N/A","Hip Hop","N/A","N/A","SAINt JHN, Imanbek","N/A","N/A","N/A","N/A","2780","N/A","N/A","N/A","N/A","126877242.055","N/A","N/A","N/A","93229937","2146785195","N/A","N/A","N/A","62852616","1035338036","N/A","N/A","N/A","62727","N/A","N/A","N/A","N/A","156652","1907180","N/A","N/A","N/A","N/A","N/A"
"Corazón Roto pt. 3","2023-09-08","N/A","Latin","N/A","N/A","Brray, Anuel AA, Chencho Corleone, Jhayco, Ryan Castro","N/A","N/A","N/A","N/A","2847","N/A","N/A","N/A","N/A","124808064.55999999","N/A","N/A","N/A","33092390","215341646","N/A","N/A","N/A","118688705","259334564","N/A","N/A","N/A","301","N/A","N/A","N/A","N/A","25475","105026","N/A","N/A","N/A","N/A","N/A"
