"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"31","DJ Khaled","United States","Hip Hop","Sony Music Entertainment, Big Indie Labels, Universal Music Group, Warner Music Group","226","273","40278","12995989","17087186","11306295664","-5210","21710038","155863719","283","0","14000000","6500270","7904386595","31118","57912520","108","419","7064963","84515","0","-7036","38896295","58152","7797","22317496","779","1668625","217","370324","308801","2758","411","11408","102","1431","41671","146","17","1256","4.018136572704365","130.25097940771593"
"32","Flo Rida","United States","Hip Hop","Big Indie Labels, Warner Music Group, Universal Music Group","227","129","14461","9276219","45847181","15541433118","-396484","41770706","233536570","490","10000","5960000","7913850","7911657962","31977","43732434","1962","637","680543","5657","0","2599","1012283","16301","-4981","15328358","1097","4713890","185","66758","320968","422","177","19799","112","3197","4524","221","13","892","46.553876884024916","2325.1150231911247"
"33","JAY-Z","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","237","132","24215","11006914","65407295","24470019470","240852","42101609","305352440","238","10000","4070000","12140048","8212038414","55441","50903222","2646","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-6914","21730509","1092","3548829","213","92719","82162","6362","551","9464","108","2049","64909","328","11","126","5.052382255687282","103.42226571937202"
"34","Metro Boomin","United States","Hip Hop","Sony Music Entertainment, Universal Music Group, Warner Music Group","254","92","31302","12469170","71031404","30502473869","-146549","42498939","182456037","487","0","3560000","7356056","4099284379","46240","38089672","1803","264","954785","1705","0","-12515","10667626","8313","-882","1566406","1333","725759","687","1368507","551791","585","659","8133","83","1088","16559","125","15","281","69.57702954161796","275.5405666852134"
"35","Tyga","United States","Hip Hop","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","267","342","11467","7590858","29345092","18900222425","195764","23890579","167945607","140","0","12000000","11423790","13688351434","44503","102433674","198","-3511","11251779","5806","0","210904","46218828","0","-9680","21859253","0","3400114","99","561099","171903","3561","766","8085","88","890","38637","214","36","3444","14.88019109409711","1300.4082568907672"
"36","Dr. Dre","United States","Hip Hop","Universal Music Group, Big Indie Labels","273","203","31828","15950091","35904591","14475801178","-75110","23931487","174848764","236","0","7930000","7528384","6123971045","41731","45552198","1751","N/A","N/A","N/A","N/A","-4847","7854787","602","-4999","17013506","2903","4427360","340","207774","103667","17365","903","6132","75","1031","89333","56","8","680","1.3354587826233473","38.157938215985595"
"37","Ty Dolla $ign","United States","Hip Hop","Warner Music Group, Big Indie Labels, Universal Music Group, Sony Music Entertainment, BMG","294","149","25481","7918872","52496465","26403357242","58188","36795389","338682906","246","0","3810000","9547505","14020013498","39610","96451642","1609","191","1002716","1641","0","-4376","7583701","119502","-2005","4210513","800","930731","105","467583","178929","3596","913","4919","92","830","1660","177","44","1708","50.75282339794142","4502.681147904468"
"38","Young Thug","United States","Hip Hop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels, BMG","317","185","27533","13056030","65570780","30859292342","-220156","28924046","292591451","196","0","7190000","14144941","15148283863","77485","123261461","963","793","1598287","9838","0","-4444","10067385","122832","-3121","5745645","1340","1520221","4388","1749499","1310796","12050","1725","3959","56","327","15364","188","32","909","46.993843086190374","489.49499220463423"
"39","Susy Mouriz","Mexico","Hip Hop","N/A","320","50516","71","262361","85756","4967509","10866","142404","349766","59","100000","34100000","42779988","17200443232","1102937","1052315568","656","5892","17284888","917163","0","2095","2495979","43554","4272","699757","13","1064","N/A","N/A","N/A","0","367133","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"40","French Montana","United States","Hip Hop","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","346","310","10415","6062336","22917770","11959471552","48784","28822406","222888051","216","0","5920000","9679055","9844059711","40596","66360833","478","691","827795","18092","0","360265","44982763","65900","-1909","5636547","364","1177633","126","148780","173511","26405","1016","8415","84","802","26749","207","36","3570","24.155350802460735","1963.1493774801793"
