"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"Brasil Anos 80","Editorial","Spotify","Rock, Pop","Alternative Rock, Pop Rock, Nova MPB","50","1537","1030760"
"Indie Anthems","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","100","630","1028506"
"Cheesy Hits!","Editorial","Spotify","Pop, Rock","Mainstream Pop","50","-507","1027663"
"Cantando no Carro","Editorial","Spotify","Pop, Rock","Mainstream Pop, Alternative Rock","100","608","1010493"
"wanderlust","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","125","-523","1009096"
"90er Hits","Editorial","Spotify","Pop, Rock","Mainstream Pop","100","5093","1000673"
"Retro Running","Editorial","Spotify","Rock, Pop, R&B","Mainstream Pop, Pop Rock","50","7518","1000010"
"60s Rock Anthems","Editorial","Spotify","Rock","Hard Rock, Pop Rock","100","2996","995821"
"La + Chingona","Editorial","Spotify","Rock, Latin","N/A","100","-1117","979042"
"Essential New Wave","Editorial","Spotify","Rock","Alternative Rock, Pop Rock","50","4219","978358"
"Rock Love Songs","Editorial","Spotify","Rock","Alternative Rock, Nu Metal","50","7919","976006"
"Best Tracks from Tarantino Films","Editorial","Spotify","Rock, R&B, Pop","N/A","52","5522","969357"
"Born To Run 150 BPM","Editorial","Spotify","Rock, Punk","Alternative Rock, Hard Rock, Pop Rock","70","2970","969286"
"This Is Paramore","This Is ...","Spotify","Rock","Alternative Rock, Pop Punk","50","3171","968013"
"70s & 80s Acoustic","Editorial","Spotify","Rock","Folk Rock, Hard Rock, Pop Rock","60","2247","960335"
"This Is Radiohead","This Is ...","Spotify","Rock","Alternative Rock","50","4678","956276"
"VOLUME","Editorial","Spotify","Rock, Metal","Alternative Rock","100","-44","953487"
"Canta en el auto","Editorial","Spotify","Pop, Rock, Hip Hop","Mainstream Pop, Indie Pop","100","4614","951370"
"Folk Pop","Editorial","Spotify","Pop, Rock","Mainstream Pop, Indie Pop","101","1115","950221"
"Dark & Gothic","Editorial","Spotify","Classical, Rock","Orchestral","80","3533","948914"
"The Core","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore","200","292","946808"
"Los 80 México","Editorial","Spotify","Pop, Rock","Latin Pop, Pop Rock","100","0","946369"
"Unwind 00s","Editorial","Spotify","Pop, Rock","Mainstream Pop, Pop Rock, Contemporary R&B","50","403","939880"
"Chill Rock","Editorial","Spotify","Rock","Alternative Rock, Indie Rock","80","2314","938079"
"All New Rock","Editorial","Spotify","Rock","Alternative Rock, Psychedelic Rock","96","2660","935596"
"Volume Máximo","Editorial","Spotify","Rock, Metal, Punk","Alternative Rock","75","-2697","931938"
"Top 50 - Indonesia","Charts","Spotify","Pop, Rock","Indie Pop, Indie Rock, Indonesian Pop","50","12129","921727"
"2000er Hits","Editorial","Spotify","Pop, Rock, Hip Hop","Mainstream Pop","100","6433","920969"
"Ultimate Party Classics","Editorial","Spotify","Pop, Rock, R&B","Mainstream Pop","80","456","916597"
"Punk Essentials","Editorial","Spotify","Rock","Pop Rock, Garage Rock","50","-89","913959"
"Couples In Love","Editorial","Spotify","Pop, Rock, R&B","Mainstream Pop, Contemporary R&B","0","-1160","907637"
"Alternative 10s","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","80","148","906339"
"Modern Psychedelia","Editorial","Spotify","Rock, Pop","Indie Pop, Indie Rock","100","1052","898246"
"80er Hits","Editorial","Spotify","Pop, Rock","Mainstream Pop, Pop Rock","100","4923","897326"
"This Is Bon Jovi","This Is ...","Spotify","Rock","Mainstream Pop, Pop Rock","50","1878","888111"
"Indie Chillout","Editorial","Spotify","Pop, Rock, R&B","Indie Pop","100","1266","885373"
"Acoustic Blues","Editorial","Spotify","Blues, Country, Rock","Contemporary Blues, Americana/Alt Country","100","-393","880752"
"Mellow Classics","Editorial","Spotify","Rock, R&B","Folk Rock, Pop Rock","100","1185","874211"
"Los 90 España","Editorial","Spotify","Rock","Alternative Rock, Hard Rock","100","-1270","868733"
"Rock School","Editorial","Spotify","Rock","Alternative Rock, Hard Rock","100","4647","868316"
"Van Life","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","100","579","853773"
"Mates y Música","Editorial","Spotify","Hip Hop, Rock, Pop","Contemporary Hip Hop, Folk Rock, Pop Rock","90","2115","849635"
"Classic Rock Workout","Editorial","Spotify","Rock","Hard Rock","120","2265","839191"
"misfits 2.0","Editorial","Spotify","Rock, Hip Hop, Pop","Indie Pop","81","-499","836498"
"Feel Good Dinner","Editorial","Spotify","R&B, Rock, Pop","Indie Rock","115","1254","836071"
"Rock en Español 80's 90's 2000's - Rock en tu idioma - Éxitos de rock en español de los 80s 90s 2000","Major Label","Filtr Mexico","Rock","Alternative Rock, Pop Rock, Indie Rock","119","2047","834701"
"This Is Muse","This Is ...","Spotify","Rock","Alternative Rock","50","1928","831480"
"This Is The 1975","This Is ...","Spotify","Rock","Alternative Rock, Indie Rock","44","1518","830037"
"Essential Alternative","Editorial","Spotify","Rock","Alternative Rock, Indie Rock","200","3053","823375"
"Essential Folk","Editorial","Spotify","Rock, Country, Pop","Folk Rock, Folk","117","1368","822172"
"Heartstopper Official Playlist","Editorial","Spotify","Pop, Electronic, Rock","Mainstream Pop, Indie Pop","146","-1261","818761"
"In the Arms of a Woman","Editorial","Spotify","Pop, Rock","Mainstream Pop, Pop Rock","150","2452","815852"
"Rock Ballads","Editorial","Spotify","Rock","Alternative Rock, Hard Rock, Pop Rock","75","2470","811663"
"Today's Indie Rock","Editorial","Spotify","Rock, Pop","Indie Pop, Indie Rock","151","-844","807731"
"Années 80","Editorial","Spotify","Pop, Rock","Mainstream Pop, Pop Rock","80","1605","801149"
"This Is Pearl Jam","This Is ...","Spotify","Rock","Alternative Rock","50","1624","800210"
"GYM MUSIC 2026 - Heavy Lifting💪","Indie Curator","Music-Hits_.","Rock, Metal","Alternative Rock, Symphonic Metal","211","18170","792738"
