"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"Throwback Thursday","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Soul","50","-505","852556"
"BARRAS","Editorial","Spotify","Hip Hop, Latin","Trap, Alternative Hip Hop, Drill","40","-971","851857"
"Novedades Viernes Latinoamérica","Editorial","Spotify","Pop, Hip Hop","Trap, Latin Pop, Contemporary R&B","86","-2917","851804"
"t'as la ref ?","Editorial","Spotify","Hip Hop","Mainstream Pop, Contemporary Hip Hop, Alternative Hip Hop","79","3752","850782"
"Mates y Música","Editorial","Spotify","Hip Hop, Rock, Pop","Contemporary Hip Hop, Folk Rock, Pop Rock","90","2115","849635"
"Arena Hip-Hop","Editorial","Spotify","Latin, Hip Hop","Regional Mexican Music, Corrido","50","734","849440"
"This Is Hungria","This Is ...","Spotify","Hip Hop","Contemporary Hip Hop","50","511","846332"
"misfits 2.0","Editorial","Spotify","Rock, Hip Hop, Pop","Indie Pop","81","-499","836498"
"This Is Frank Ocean","This Is ...","Spotify","R&B, Hip Hop","Alternative Hip Hop, Neo Soul","48","1997","826274"
"crash out","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop, Indie Pop","75","7726","816148"
"Hip-Hop Central","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","50","-685","805949"
"Country Party","Editorial","Spotify","Country, Hip Hop","Contemporary Country, Mainstream Pop","100","1144","802676"
"Eminem Radio","Radio","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop","50","7053","797897"
"Old School Hip Hop​​","Major Label","Filtr Sweden","Hip Hop","Contemporary Hip Hop","279","-888","789487"
"Country Cookout","Editorial","Spotify","Country, Hip Hop","Contemporary Country, Mainstream Pop","100","2930","770752"
"KrOWN","Editorial","Spotify","Hip Hop, Pop","Contemporary Hip Hop, k-rap","82","-510","768758"
"Best of British","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop, Alternative Hip Hop, Contemporary R&B","250","937","763254"
"Westside","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop","101","473","760231"
"Hip-Hop Mixtape","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","100","-1038","757173"
"Perreo City","Editorial","Spotify","Latin, Hip Hop","Reggaeton","100","-632","756589"
"BTS Radio","Radio","Spotify","Pop, Hip Hop","Alternative Hip Hop, k-pop","50","3152","754348"
"Verano 2025","Editorial","Spotify","Latin, Pop, Hip Hop","Reggaeton, Latin Pop","69","-1072","748505"
"Euphoria Soundtrack Season 1 & 2 - All Songs","Indie Curator","JudasVargas","Pop, Electronic, Hip Hop","Dance, Indie Pop","228","7214","743279"
"This Is SZA","This Is ...","Spotify","R&B, Hip Hop","Contemporary Hip Hop, Contemporary R&B, Neo Soul","51","1457","741259"
"This Is Tyler, The Creator","This Is ...","Spotify","Hip Hop","Contemporary Hip Hop, Contemporary R&B","47","1118","735905"
