"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"373","Mist of Misery","Sweden","Metal","N/A","185848","190020","11064","2859803","18499","44042","253224","620","70330","2208","378831","N/A","1100","4566","402","56","146863","N/A","N/A","N/A","N/A","N/A"
"374","Evil Scarecrow","United Kingdom","Metal","N/A","186776","238845","8759","3320918","4863","22930","142663","3870","980073","9729","111602","N/A","5634","21018","1447","196","101620","N/A","N/A","N/A","N/A","N/A"
"375","Uratsakidogi","Russian Federation","Metal","Other Indie / Unsigned","187102","266906","8001","2365075","3701","2722","92066","16400","1993705","61676","285901","N/A","4705","3044","778","N/A","220785","N/A","N/A","N/A","N/A","N/A"
"376","Darvaza","Italy","Metal","N/A","187166","237024","10144","773809","3614","84870","N/A","N/A","N/A","N/A","190768","N/A","N/A","13237","321","N/A","113354","N/A","N/A","N/A","N/A","N/A"
"377","Fathomage","Australia","Metal","Other Indie / Unsigned","187477","156546","7513","2344526","54308","93817","N/A","N/A","N/A","N/A","434827","N/A","1668","1370","225","58","259956","N/A","N/A","N/A","N/A","N/A"
"378","Vargrav","Finland","Metal","N/A","187707","198090","18881","1860761","6810","63514","328677","N/A","N/A","N/A","188869","N/A","N/A","30355","548","N/A","272693","N/A","N/A","N/A","N/A","N/A"
"379","Tombs","United States","Metal","Big Indie Labels","187750","254978","16745","2556313","1633","54869","495724","34","26653","405","130538","N/A","5512","32085","1983","N/A","90720","N/A","N/A","N/A","N/A","N/A"
"380","Kvaen","Sweden","Metal","Big Indie Labels","187883","205300","18816","2944640","5354","89071","165748","1500","290306","5322","298085","N/A","N/A","9037","1070","N/A","162498","N/A","N/A","N/A","N/A","N/A"
"381","Woe","United States","Metal","Universal Music Group","188009","232485","12380","917877","2582","96832","N/A","N/A","N/A","N/A","198648","N/A","5712","11566","N/A","N/A","116793","N/A","N/A","N/A","N/A","N/A"
"382","Sworn","Norway","Metal","Other Indie / Unsigned","188387","195188","11663","2321465","13459","9175","200145","1140","2402","76","296335","N/A","1769","8484","445","N/A","310428","N/A","N/A","N/A","N/A","N/A"
"383","A Forest Of Stars","United Kingdom","Metal","Big Indie Labels","188680","192398","26282","3404044","6610","107541","424757","161","28001","308","222730","N/A","2182","16019","1760","N/A","130808","N/A","N/A","N/A","N/A","N/A"
"384","Nocturnal","Germany","Metal","N/A","188833","229182","13532","1424815","5655","29021","530143","N/A","N/A","N/A","148472","N/A","6341","25490","N/A","N/A","116535","N/A","N/A","N/A","N/A","N/A"
"385","Martyrdöd","Sweden","Punk","Sony Music Entertainment","189606","212184","18678","4721368","4509","88765","N/A","N/A","N/A","N/A","180465","N/A","6254","19309","1394","N/A","95308","N/A","N/A","N/A","N/A","N/A"
"386","Auðn","Iceland","Metal","Big Indie Labels","190162","206620","23552","3239351","3808","110567","461229","103","3559","42","183697","N/A","5162","19733","2377","112","109453","N/A","N/A","N/A","N/A","N/A"
"387","Kroda","Spain","Metal","N/A","190259","293734","4992","582901","2449","15332","109907","7500","1043984","20600","216695","N/A","4238","10997","N/A","12","N/A","N/A","N/A","N/A","N/A","N/A"
"388","Root","Czech Republic","Metal","N/A","190666","228788","15177","2263778","5113","18289","291557","234","232150","1932","251725","N/A","N/A","13215","1126","N/A","121808","N/A","N/A","N/A","N/A","N/A"
"389","Intig","Sweden","Metal","N/A","191025","159805","22604","7268975","19011","123670","328677","N/A","N/A","N/A","486708","N/A","N/A","3249","591","N/A","258017","N/A","N/A","N/A","N/A","N/A"
"390","Krallice","United States","Metal","N/A","191925","199174","30358","3512009","4509","83664","N/A","N/A","N/A","N/A","184608","N/A","6608","16706","2096","N/A","232178","N/A","N/A","N/A","N/A","N/A"
"391","Necromantia","Greece","Metal","Other Indie / Unsigned","192074","197126","25391","1275962","4763","142855","N/A","N/A","N/A","N/A","202614","N/A","N/A","18967","1405","N/A","266092","N/A","N/A","N/A","N/A","N/A"
"392","Master's Hammer","Czech Republic","Metal","N/A","192259","230586","17578","1626776","3602","91115","305410","360","66830","676","229809","N/A","N/A","14207","1366","N/A","102802","N/A","N/A","N/A","N/A","N/A"
"393","A Light In The Dark","Russian Federation","Rock","Other Indie / Unsigned","192454","174212","14923","3566422","17775","125397","N/A","N/A","N/A","N/A","441441","N/A","N/A","4692","537","N/A","244301","N/A","N/A","N/A","N/A","N/A"
"394","Ancst","Germany","Metal","N/A","193213","220990","15535","3186896","5307","114215","196934","848","378240","8411","104014","N/A","7375","11570","1150","166","268274","N/A","N/A","N/A","N/A","N/A"
"395","Second to Sun","Russian Federation","Metal","N/A","193381","239474","14254","2610578","3866","69667","171343","3740","1229","119","141668","98","14649","17487","1239","278","255743","N/A","N/A","N/A","N/A","N/A"
"396","THRON","Germany","Metal","Big Indie Labels","193541","239049","11064","1557243","5600","29582","344338","142","13046","275","261888","N/A","3277","7976","1042","N/A","65904","N/A","N/A","N/A","N/A","N/A"
"397","Gehennah","Sweden","Metal","N/A","194754","216489","18122","2255160","6706","73640","N/A","N/A","N/A","N/A","202164","N/A","N/A","13322","930","N/A","122662","N/A","N/A","N/A","N/A","N/A"
"398","Fuath","United States","Metal","Other Indie / Unsigned","194797","232317","10132","726108","2104","103519","N/A","N/A","N/A","N/A","222970","N/A","2615","6004","529","N/A","307050","N/A","N/A","N/A","N/A","N/A"
"399","Avhath","Indonesia","Metal","Other Indie / Unsigned","194980","249669","11939","2503366","3261","8680","131105","2890","628535","14538","73113","N/A","23894","3162","78","98","208730","N/A","N/A","N/A","N/A","N/A"
"400","Sarastus","Finland","Metal","Other Indie / Unsigned","194985","182799","20685","2853179","9348","140550","220062","689","43713","1386","277594","N/A","3230","3043","195","N/A","206766","N/A","N/A","N/A","N/A","N/A"
"401","XIV Dark Centuries","Germany","Metal","Universal Music Group","195432","295631","8637","853466","1431","40926","151843","1160","99415","2670","255334","N/A","1997","11131","981","6","39754","N/A","N/A","N/A","N/A","N/A"
"402","Black Hate","Mexico","Metal","Other Indie / Unsigned","195558","209509","15003","1526341","8311","83228","151516","1190","105153","2665","218378","N/A","7","22902","446","N/A","274089","N/A","N/A","N/A","N/A","N/A"
