"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"418","Severe Torture","Netherlands","Metal","Big Indie Labels","145648","179701","30069","2512849","6937","212934","353670","238","48741","228","74077","N/A","10260","177688","7088","64","224646","N/A","N/A","N/A","N/A","N/A"
"419","Thulcandra","Germany","Metal","Big Indie Labels","145683","175804","22446","2800571","6034","496216","121739","6390","698180","14804","162258","N/A","6510","26215","2541","58","51584","N/A","N/A","N/A","N/A","N/A"
"420","Embryectomy","Greece","Metal","Big Indie Labels","146215","137163","20512","4424899","28470","395935","166219","2110","119385","3111","158417","N/A","9536","13593","336","N/A","433100","N/A","N/A","N/A","N/A","N/A"
"421","Cripper","Germany","Metal","N/A","146586","244825","14824","2193386","2905","42768","99217","21600","2922292","46615","N/A","N/A","N/A","20430","2627","N/A","63204","N/A","N/A","N/A","N/A","N/A"
"422","Antidemon","Brazil","Metal","N/A","147362","248811","13538","1130034","2895","28844","102018","12800","1203005","34993","140019","N/A","15859","19535","3879","77","82729","N/A","N/A","N/A","N/A","N/A"
"423","Dead Vertical","Indonesia","Metal","N/A","147435","269680","11062","1022296","2111","55143","171314","2430","306470","5146","42385","N/A","50126","379138","779","116","437552","N/A","N/A","N/A","N/A","N/A"
"424","Parasitic Ejaculation","United States","Metal","Other Indie / Unsigned","147655","152199","31538","5643806","15404","78243","N/A","N/A","N/A","N/A","126105","N/A","8229","47265","1322","63","399711","N/A","N/A","N/A","N/A","N/A"
"425","Artificial Brain","United States","Metal","Other Indie / Unsigned","149206","185522","28385","4585566","5059","100405","557903","39","N/A","N/A","155221","N/A","10798","15291","1186","N/A","74386","N/A","N/A","N/A","N/A","N/A"
"426","Spoil Engine","Belgium","Metal","Other Indie / Unsigned","149619","188756","16080","5667927","8339","79627","106688","11000","3123216","48012","161679","4","6459","23508","2993","45","94763","N/A","N/A","N/A","N/A","N/A"
"427","The Witching Hour","Australia","Metal","Sony Music Entertainment, Big Indie Labels","149685","251093","4794","2351133","4757","6798","80115","3320","314317","3665","198866","N/A","6910","12946","303","13","263398","N/A","N/A","N/A","N/A","N/A"
"428","Slugdge","United Kingdom","Metal","Other Indie / Unsigned","149884","144269","32282","7628265","18136","70050","N/A","N/A","N/A","N/A","172642","N/A","5948","15911","1540","85","303963","N/A","N/A","N/A","N/A","N/A"
"429","Hideous Divinity","Italy","Metal","Sony Music Entertainment","150204","174746","26922","4957786","7641","346150","211732","2000","339432","5190","105621","N/A","14705","56882","2444","N/A","72070","N/A","N/A","N/A","N/A","N/A"
"430","Arsames","Iran","Metal","N/A","150298","754891","23","0","N/A","606","78888","12300","2589372","48680","95667","N/A","42695","27445","861","N/A","288226","N/A","N/A","N/A","N/A","N/A"
"431","Gorepot","Taiwan","Metal","N/A","150696","139633","24731","6353458","35198","53374","N/A","N/A","N/A","N/A","145723","N/A","16058","14977","426","N/A","137293","N/A","N/A","N/A","N/A","N/A"
"432","ANDY GILLION","United Kingdom","Metal","Big Indie Labels","151070","207631","9320","3949836","8514","225318","90463","18400","3104494","100644","158111","1429","8572","10551","374","216","231194","N/A","N/A","N/A","N/A","N/A"
"433","Vulvectomy","Italy","Metal","N/A","151430","176143","34087","2221039","7362","64849","238251","1040","137177","2251","85009","N/A","12399","133496","922","N/A","181681","N/A","N/A","N/A","N/A","N/A"
"434","Deserted Fear","Germany","Metal","Sony Music Entertainment","151465","180071","22041","6576975","6632","217987","150044","4710","623699","10634","129599","N/A","16076","24349","2264","623","64961","N/A","N/A","N/A","N/A","N/A"
"435","Dead Congregation","Greece","Metal","Other Indie / Unsigned","151753","169831","30870","3873848","12498","30512","N/A","N/A","N/A","N/A","117270","N/A","18603","41088","1421","N/A","292456","N/A","N/A","N/A","N/A","N/A"
"436","Solution .45","Sweden","Metal","Big Indie Labels","152367","136701","33587","13060168","18811","137001","N/A","N/A","N/A","N/A","243115","N/A","N/A","18653","2526","20","129437","N/A","N/A","N/A","N/A","N/A"
"437","Wormed","Spain","Metal","Big Indie Labels","152878","182913","28995","2975240","4359","312407","172697","2920","478486","8515","97083","N/A","8374","93088","3368","928","167683","N/A","N/A","N/A","N/A","N/A"
"438","Sacramentum","Sweden","Metal","Sony Music Entertainment","152918","160487","31543","2592964","13014","121989","N/A","N/A","N/A","N/A","143481","N/A","17602","11475","2058","N/A","153977","N/A","N/A","N/A","N/A","N/A"
"439","Demonic Resurrection","India","Metal","N/A","153329","253450","15018","785368","2250","34251","102017","10700","1215741","30137","170314","N/A","7626","9823","1341","907","253621","N/A","N/A","N/A","N/A","N/A"
"440","Trivax","United Kingdom","Metal","Other Indie / Unsigned","153402","285632","5691","260762","3746","6009","87308","14400","1167451","39910","172236","N/A","9930","7774","259","74","264858","N/A","N/A","N/A","N/A","N/A"
"441","Putridity","Italy","Metal","N/A","153435","168293","32980","2635095","6964","299434","269452","430","26100","931","110819","N/A","12524","63332","1809","N/A","370526","N/A","N/A","N/A","N/A","N/A"
"442","Earthbound.","United Kingdom","Metal","Other Indie / Unsigned","154491","211204","6261","1038366","17583","5788","116593","1500","150786","3116","75903","10358","3674","2605","111","N/A","252124","N/A","N/A","N/A","N/A","N/A"
"443","Mutiny Within","United States","Metal","Other Indie / Unsigned","154672","136030","23102","13493835","20187","439464","109783","4840","919040","13859","179102","N/A","1094","23416","2743","N/A","168643","N/A","N/A","N/A","N/A","N/A"
"444","Darkane","Sweden","Metal","Big Indie Labels","154760","222481","17595","2566360","5455","56836","140619","4960","488740","6884","146342","N/A","2840","40632","4282","N/A","52823","N/A","N/A","N/A","N/A","N/A"
"445","Introtyl","Mexico","Metal","Big Indie Labels","154807","264632","11744","794959","2143","11257","113676","7920","463506","15500","104659","N/A","14391","68086","700","228","113014","N/A","N/A","N/A","N/A","N/A"
"446","Hatesphere","Denmark","Metal","Other Indie / Unsigned","155069","195869","23810","6345018","9075","72862","214964","1530","206017","2408","153115","N/A","5030","30431","4986","55","57931","N/A","N/A","N/A","N/A","N/A"
"447","Asinhell","Denmark","Metal","Big Indie Labels","155327","154798","25474","3167318","9529","604977","N/A","N/A","N/A","N/A","162132","N/A","10960","9416","1271","N/A","49988","N/A","N/A","N/A","N/A","N/A"
"448","Countless Skies","United Kingdom","Metal","Other Indie / Unsigned","155346","163566","22488","5806052","14954","73526","151462","3870","473482","8176","212581","N/A","4331","9664","1592","35","326165","N/A","N/A","N/A","N/A","N/A"
"449","Criminal","Chile","Metal","Big Indie Labels","155596","181674","24681","10362232","6298","260281","146257","3030","1081122","8984","118919","N/A","10311","47542","2263","N/A","49184","N/A","N/A","N/A","N/A","N/A"
"450","Demilich","Finland","Metal","N/A","155660","172000","38202","3110331","5112","210755","463826","14","82281","66","122924","N/A","20176","25097","1698","N/A","333781","N/A","N/A","N/A","N/A","N/A"
"451","Dave Davidson","United States","Metal","N/A","155661","754891","N/A","N/A","N/A","N/A","98511","5580","255422","15755","68755","3236","61170","32699","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"452","CARRION VAEL","United States","Metal","Big Indie Labels","155847","242483","6167","721274","2827","44716","148406","1310","22330","972","236148","N/A","2650","7599","276","N/A","152017","N/A","N/A","N/A","N/A","N/A"
"453","Fuming Mouth","United States","Metal","Big Indie Labels","155939","146835","27522","7273492","8731","784112","166671","2360","195173","4184","117573","888","21473","11695","823","54","167750","N/A","N/A","N/A","N/A","N/A"
"454","Gutslit","India","Metal","Other Indie / Unsigned","155966","233406","13279","1063953","3530","94744","116041","5790","449733","16727","150184","N/A","12293","17526","413","N/A","193090","N/A","N/A","N/A","N/A","N/A"
"455","Clouds","Belgium","Metal","N/A","156301","200790","16766","2970280","7965","46778","127239","5670","807177","20757","156824","N/A","4692","33176","4913","N/A","184860","N/A","N/A","N/A","N/A","N/A"
"456","The Duskfall","Sweden","Metal","Other Indie / Unsigned","156647","179438","20257","8214469","17218","89478","190212","1250","17045","485","271370","N/A","1081","11667","1314","44","82714","N/A","N/A","N/A","N/A","N/A"
"457","The Sorrow","Austria","Metal","BMG","156816","157653","28412","10291102","14057","186250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","25564","2782","N/A","64717","N/A","N/A","N/A","N/A","N/A"
"458","Shade Empire","Finland","Metal","Universal Music Group","156832","152480","31113","10716368","12391","139864","328677","N/A","N/A","N/A","194673","N/A","2632","21194","4595","N/A","133076","N/A","N/A","N/A","N/A","N/A"
"459","Cephalotripsy","United States","Metal","Big Indie Labels","156871","203017","14748","2385806","8660","77516","N/A","N/A","N/A","N/A","111528","N/A","23379","43877","1227","N/A","177366","N/A","N/A","N/A","N/A","N/A"
"460","Cognizance","United States","Metal","N/A","157080","195902","15391","3519449","17939","225755","153830","2640","282120","6655","201491","100","5832","12169","879","44","224559","143228","N/A","N/A","N/A","N/A"
