"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"32","Dew Jirawat (ดิว จิรวรรตน์)","Thailand","Pop","Big Indie Labels","23557","168525","-18","58579","8841","5808804","0","10143","52482","39965","N/A","N/A","N/A","N/A","N/A","N/A","4928","N/A","N/A","N/A","N/A","21053","7684790","311135","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"33","Liza","Bangladesh","Asian","Big Indie Labels","24614","216247","12","2258","11880","1192756","764","22152","2993","21389","0","437000","151180","74534142","744","523504","13897","194","329582","5514","0","-86","935808","1432","856","1259732","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"34","Htet Kaung Kin","Thailand","Pop","N/A","24878","754891","0","8","70","7426","0","32","N/A","7729","2000","593000","561726","106741886","4908","1660418","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"35","JASP.ER","Indonesia","Pop","Big Indie Labels","25007","20112","6092","293469","561218","23942721","-7488","380397","45997","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"36","SEA.","Thailand","Pop","Other Indie / Unsigned","25013","14342","2522","58931","1038733","34965568","-835","1046234","1564553","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"37","MAPRANG","Thailand","Pop","N/A","25122","754891","0","26","3","32701","0","4","N/A","97233","0","27000","71","1729544","0","21471","1475","1149","5355853","153748","0","-16","463403","35426","465","890842","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"38","Serani Poji","Japan","Pop","Other Indie / Unsigned","25302","17433","1312","269228","778346","116515282","2047","857686","451176","43095","100","92500","6952","2363122","174","68041","208241","143","49900","584","0","N/A","N/A","N/A","N/A","N/A","32","3535","N/A","N/A","N/A","N/A","266700","N/A","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"39","BETAYOURBITCH","Thailand","Pop","Other Indie / Unsigned","25628","34444","1311","20848","431491","17262864","-29808","479521","210021","18144","0","29800","0","8814147","0","91779","409271","N/A","N/A","N/A","N/A","2","5306","155","N/A","N/A","N/A","N/A","0","17","0","0","238128","6","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"40","PUIMEK","Thailand","Pop","Big Indie Labels","25692","505391","0","2323","46","82230","-1","2","228","27024","0","481000","11422","33845781","56","910818","10512","0","384800","0","0","-321","1284251","22046","367","271756","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"41","Anny Kathwar","India","Pop","N/A","25783","12275","139","4802","956316","30279342","-87561","1814025","6780","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"42","Joey Leong (梁祖仪)","Malaysia","Pop","Warner Music Group, Sony Music Entertainment","25961","180596","4","137","293","457770","-2277","5576","17890","107774","0","19100","300","1406899","1","18758","3339","-301","662225","24","0","-154","471288","4138","0","381652","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"43","NCT JNJM","N/A","Pop","Big Indie Labels","27630","16770","4729","84102","1708088","26944698","-55657","846215","12813928","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","53","502","N/A","N/A","N/A","0","273751","N/A","6","7","N/A","N/A","N/A","N/A","N/A","N/A"
