"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"259","maNga","Turkey","Rock","Big Indie Labels, Sony Music Entertainment","5180","5391","2761032","938105988","1602170","5777636","5387","555000","536405092","3929151","16383","N/A","298229","2054538","602489","N/A","30834","N/A","N/A","N/A","N/A","N/A"
"260","VIOLENT VIRA","United States","Rock","Big Indie Labels","5212","7429","627449","410689322","1818231","2397590","14143","172000","22929342","556606","3300","465630","457387","N/A","N/A","23844","80997","N/A","N/A","N/A","N/A","N/A"
"261","Falco","Austria","Pop","Sony Music Entertainment, Warner Music Group, Big Indie Labels","5217","4635","677415","808069816","2952688","20843715","9606","410000","353241152","2722311","N/A","137233","63470","177555","100173","N/A","372","N/A","N/A","N/A","N/A","N/A"
"262","New Radicals","United States","Rock","N/A","5228","2327","351209","808993630","8040039","56812251","13765","6","266158573","1601506","N/A","N/A","1351","2101","29406","N/A","1426","N/A","N/A","N/A","N/A","N/A"
"263","Teoman","Turkey","Rock","Sony Music Entertainment","5242","4559","2663311","1310689657","2760860","9919754","8431","272000","603676631","3445942","6399","204399","708977","1391288","493322","9963","13017","83375","10","0","0","8.682883461951743"
"264","The Allman Brothers Band","United States","Rock","Big Indie Labels","5282","2895","1871826","1473466708","3414112","36354754","19735","191000","55750358","414270","N/A","N/A","36027","1417809","130478","5710","1246","N/A","N/A","N/A","N/A","N/A"
"265","Flyleaf","United States","Rock","Universal Music Group","5285","3644","1567776","1038370125","3783125","9641283","14640","N/A","N/A","N/A","N/A","16054","156575","1903026","136004","15205","6726","N/A","N/A","N/A","N/A","N/A"
"266","Royal Blood","United Kingdom","Rock","Warner Music Group","5301","3585","1737479","1737776965","2752130","26236874","13836","613000","291834013","2993641","18063","63614","478267","614718","379305","55780","3215","N/A","N/A","N/A","N/A","N/A"
"267","CNBLUE (씨엔블루)","South Korea","Pop","Big Indie Labels, Warner Music Group","5321","18734","753922","225019650","459791","1822963","9418","1110000","351628604","6113080","1916","430922","339045","3937545","114918","N/A","37217","N/A","N/A","N/A","N/A","N/A"
"268","La Unión","Spain","Pop","N/A","5337","3777","726127","658758965","5026482","24141355","6411","317000","353745707","1290907","73099","N/A","16294","155087","42180","N/A","2869","N/A","N/A","N/A","N/A","N/A"
"269","Benny Bellson","United States","Rock","N/A","5360","10738","32061","52249150","2826073","3160279","44589","3410","2670996","54633","10826","83647","28626","N/A","357","2117","203027","N/A","N/A","N/A","N/A","N/A"
"270","Joey Valence & Brae","United States","Hip Hop","Big Indie Labels","5377","3842","809519","706043009","4708381","12511874","13585","323000","88256938","2919183","7625","1150137","210774","6261","14565","30536","26724","2177","7","5","620","2127.9468254445924"
"271","Model","Turkey","Rock","Other Indie / Unsigned","5406","3494","1821822","1053682179","3541885","5446124","8955","123000","572525109","3072950","N/A","N/A","52646","1067594","313896","N/A","33393","N/A","N/A","N/A","N/A","N/A"
"272","sign crushes motorist","Ireland","Rock","Sony Music Entertainment, Universal Music Group","5418","5842","688245","730486740","1775531","7509266","263365","1390","11","1","654674","2782","N/A","N/A","9225","5","41945","N/A","N/A","N/A","N/A","N/A"
"273","The Rasmus","Finland","Rock","Big Indie Labels, Sony Music Entertainment","5436","4915","589698","670494436","3453373","9771809","6222","747000","545507588","4415750","13566","202435","192754","883932","201183","7376","1135","N/A","N/A","N/A","N/A","N/A"
"274","Crazy Town","United States","Rock","Sony Music Entertainment, Warner Music Group, Big Indie Labels","5445","2347","625448","823397364","6801279","65890330","6752","315000","396947805","2762352","49789","N/A","124992","139437","49878","N/A","2841","N/A","N/A","N/A","N/A","N/A"
"275","Moon Walker","United States","Rock","N/A","5465","20355","239610","83602587","586948","759274","6408","141000","129083941","1548431","7300","681313","185146","39093","6845","3849","117046","N/A","N/A","N/A","N/A","N/A"
"276","Hole","United States","Rock","Big Indie Labels","5472","3704","1521840","856305898","3600220","28417152","10847","244000","154351796","1155732","N/A","N/A","N/A","282170","116362","N/A","3091","N/A","N/A","N/A","N/A","N/A"
"277","Fort Minor","United States","Hip Hop","Warner Music Group","5485","3129","734532","1252452768","4231511","21984877","6800","833000","702667759","5334032","31518","N/A","118738","734574","110953","8079","9426","N/A","N/A","N/A","N/A","N/A"
"278","Sek Loso","Thailand","Rock","Big Indie Labels","5507","20635","590034","97717482","344614","70578","1971","885000","2234548818","8562135","9105","638125","169370","6462000","16054","N/A","292245","N/A","N/A","N/A","N/A","N/A"
"279","HANRORO","South Korea","Pop","Big Indie Labels","5514","13273","207060","78089545","949303","5492329","6554","194000","46890282","626841","58804","N/A","176570","N/A","296","N/A","186482","N/A","N/A","N/A","N/A","N/A"
"280","CPM 22","Brazil","Punk","Other Indie / Unsigned","5518","5891","953965","757681230","2167636","6942190","10042","497000","244804181","1805464","15792","35075","470461","1157430","931704","5477","4904","N/A","N/A","N/A","N/A","N/A"
"281","Jack White","United States","Rock","Big Indie Labels","5520","6678","1449408","878264525","1365980","38117296","11993","531000","268779713","2190735","1525","99470","1202904","1777126","335330","32928","2873","N/A","N/A","N/A","N/A","N/A"
"282","El Canto Del Loco","Spain","Rock","Sony Music Entertainment","5527","4797","1200254","1435269419","2428624","11407346","4878","459000","513774392","1788674","N/A","N/A","N/A","9620","129560","N/A","3945","N/A","N/A","N/A","N/A","N/A"
"283","Am seatwo","Thailand","Rock","Big Indie Labels","5528","70139","84106","15445407","93066","1750","2452","2100000","1169831697","4519591","9721","3405017","48932","N/A","16","N/A","83040","N/A","N/A","N/A","N/A","N/A"
"284","Jack Joseph Puig","United States","Rock","Universal Music Group","5538","2382","1465","173877978","1413427","2728822","N/A","N/A","N/A","N/A","294358","N/A","6544","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"285","Red Leather","United States","Rock","Other Indie / Unsigned","5638","13628","333415","177851469","990212","788913","8551","445000","121676110","3325164","7815","1482820","580730","N/A","4365","17719","71101","N/A","N/A","N/A","N/A","N/A"
"286","Fine Young Cannibals","United Kingdom","Rock","Universal Music Group","5658","2897","996006","814151406","5464588","35847080","18357","N/A","N/A","N/A","N/A","65149","13096","138082","44797","N/A","462","51642","81","0","0","84.59493239213828"
"287","Kaiser Chiefs","United Kingdom","Rock","Big Indie Labels","5667","3903","1407329","935755880","2855732","21693863","16393","206000","153405066","1051595","15610","64405","131605","790303","420664","45823","1877","N/A","N/A","N/A","N/A","N/A"
"288","Eddie Vedder","United States","Rock","Big Indie Labels, Universal Music Group","5679","3867","1707357","1347330427","2947903","17682632","13827","283000","302034221","1660676","12162","137770","790116","2661185","418139","N/A","4793","128538","1","0","0","2.1197445026216553"
"289","ASIAN KUNG-FU GENERATION","Japan","Rock","Sony Music Entertainment","5702","6075","1191955","761016831","2142916","9136867","5034","810000","516247371","4974041","46756","N/A","42513","57562","68615","N/A","12099","N/A","N/A","N/A","N/A","N/A"
"290","Die Ärzte","Germany","Punk","Universal Music Group","5718","4934","1443991","1141659573","2578413","6078017","10936","296000","394329091","2173875","294358","N/A","6332","N/A","270302","N/A","561","N/A","N/A","N/A","N/A","N/A"
"291","Biffy Clyro","United Kingdom","Rock","Warner Music Group","5732","6850","782351","1157768157","1424194","17662780","19786","257000","184521434","1050428","7366","59256","286970","832209","220177","3994209","2227","105968","81","0","0","21.38565739004625"
"292","Sigur Rós","Iceland","Rock","BMG, Warner Music Group","5733","7519","1494747","975418687","1281660","10376724","11170","488000","193302986","1794397","8222","62534","479750","1517111","323308","2522526","8301","72105","66","0","0","77.58946006166964"
"293","Slowdive","United Kingdom","Rock","Big Indie Labels","5746","2918","1489199","969783078","5034444","15489229","21866","N/A","N/A","N/A","19372","N/A","380989","232773","76229","19913","10758","N/A","N/A","N/A","N/A","N/A"
"294","NaFF","Indonesia","Rock","Warner Music Group","5747","2849","2050327","791811548","4761283","2113323","10206","35900","400703212","1049691","51026","N/A","3387","394747","12810","50","8641","N/A","N/A","N/A","N/A","N/A"
"295","Slot Machine","Thailand","Rock","Big Indie Labels","5780","12375","778963","193057051","991031","1080607","3834","653000","725547215","3820236","8775","185501","220701","2178591","116131","1764","118226","N/A","N/A","N/A","N/A","N/A"
"296","Everlast","United States","Rock","Big Indie Labels, Universal Music Group","5791","5789","417036","791624955","3087697","10936029","5421","360000","493191682","3425425","32799","N/A","154168","495033","55739","7015","3445","105777","74","0","0","21.593511126941664"
"297","Nothing More","United States","Rock","Big Indie Labels","5796","5042","625400","941124396","2415291","15292897","15264","245000","231867635","2114387","8245","174553","269387","401156","29830","17260","4781","N/A","N/A","N/A","N/A","N/A"
"298","Callejeros","Argentina","Rock","Other Indie / Unsigned","5819","4043","2486027","1330377730","2173460","6223468","6877","730","637435602","1785864","N/A","N/A","N/A","N/A","163036","N/A","11256","124977","N/A","N/A","N/A","N/A"
"299","Duncan Dhu","Spain","Rock","Warner Music Group","5821","2952","1020800","835535432","5525430","23132778","8847","202000","424344976","1756346","N/A","N/A","8808","10634","65440","N/A","2622","N/A","N/A","N/A","N/A","N/A"
"300","Би-2 / B-2","Russian Federation","Rock","Other Indie / Unsigned","5874","14585","1125319","252509559","496611","294778","4692","1140000","1083918309","7592542","7791","731598","351391","393551","259652","14103","31141","N/A","N/A","N/A","N/A","N/A"
"301","The Black Crowes","United States","Rock","Sony Music Entertainment, Universal Music Group, Big Indie Labels, Warner Music Group","5908","4183","913787","872208512","3002877","41699719","9207","296000","146240981","1176368","25323","N/A","233367","838308","78582","N/A","900","N/A","N/A","N/A","N/A","N/A"
